Year,Country,Forest Area,CO2 Emission ,Ozone
1997,Vietnam,0.3385,45100.4,790.5
1998,Vietnam,0.3458,47513.3,565.5
1999,Vietnam,0.353,47693,466.2
2000,Vietnam,0.377,53644.5,369.4
2001,Vietnam,0.3856,61139.9,353.7
2002,Vietnam,0.395,70806.1,447.4
2003,Vietnam,0.4043,78767.2,404.6
2004,Vietnam,0.413,90549.2,419.3
2005,Vietnam,0.4217,98143.6,458.7
2006,Vietnam,0.4285,102745.7,401.1
2007,Vietnam,0.4353,113930,298.2
2008,Vietnam,0.4421,127464.9,277.5
2009,Vietnam,0.4489,140768.8,289.3
2010,Vietnam,0.4556,153148.6,311.7
2011,Vietnam,0.4598,173210.7,292.9
